repo,childSha,parentSha,childBranch,file,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev
ARMmbed/mbed-ls,988c45408b6906187dc1fc49c67b1e201030de2e,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,988c45408b6906187dc1fc49c67b1e201030de2e,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,988c45408b6906187dc1fc49c67b1e201030de2e,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,988c45408b6906187dc1fc49c67b1e201030de2e,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
ARMmbed/mbed-ls,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,56d4c865292aead26739e1844c6eb16b8b0b3e91,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,93,93
ARMmbed/mbed-ls,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,56d4c865292aead26739e1844c6eb16b8b0b3e91,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,56d4c865292aead26739e1844c6eb16b8b0b3e91,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,56d4c865292aead26739e1844c6eb16b8b0b3e91,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,56d4c865292aead26739e1844c6eb16b8b0b3e91,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,56d4c865292aead26739e1844c6eb16b8b0b3e91,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,be3f50d864193a627a8ba8a7eb0f6d6c5e750993,56d4c865292aead26739e1844c6eb16b8b0b3e91,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
ARMmbed/mbed-ls,56d4c865292aead26739e1844c6eb16b8b0b3e91,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,93,93
ARMmbed/mbed-ls,56d4c865292aead26739e1844c6eb16b8b0b3e91,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,56d4c865292aead26739e1844c6eb16b8b0b3e91,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,56d4c865292aead26739e1844c6eb16b8b0b3e91,9690baadcdb4505a87ab00e1dc23a0b8ba0b34d8,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
